Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
DMART,EQ,789.75,792.8,800.5,772.55,776.0,775.35,783.51,761302,59649091545000.01,20907,236797,0.311
DMART,EQ,775.35,777.0,784.5,771.25,775.0,774.3,776.61,335268,26037254695000.0,8123,93776,0.2797
DMART,EQ,774.3,776.95,799.8,768.05,788.1,790.25,789.27,1170440,92379367160000.0,25184,403406,0.3447
DMART,EQ,790.25,789.95,811.0,783.15,802.0,802.35,801.79,1485266,119086629665000.02,32383,314588,0.2118
DMART,EQ,802.35,804.0,823.0,797.0,806.0,804.1,811.82,1211793,98376116325000.0,32734,284170,0.2345
DMART,EQ,804.1,807.7,815.0,795.1,799.8,798.65,805.57,679152,54710125204999.99,21688,214628,0.316
DMART,EQ,798.65,802.0,807.0,792.0,799.8,798.55,799.3,406225,32469704855000.0,10423,100773,0.2481
DMART,EQ,798.55,800.0,807.0,793.0,799.4,797.95,799.78,376579,30117913420000.0,9096,97865,0.25989999999999996
DMART,EQ,797.95,802.4,812.0,796.95,801.5,800.1,803.55,579782,46588582835000.0,13166,123705,0.2134
DMART,EQ,800.1,804.8,806.25,791.0,796.0,796.4,800.03,302416,24194154115000.0,7976,94775,0.3134
DMART,EQ,796.4,796.0,836.7,796.0,824.5,822.05,817.93,1759720,143932647255000.0,24384,638494,0.3628
DMART,EQ,822.05,825.8,838.8,813.3,815.4,817.8,825.67,1466750,121105537380000.0,29162,346375,0.23620000000000002
DMART,EQ,817.8,819.95,824.0,800.0,802.5,803.9,814.33,674073,54892016015000.0,14370,177838,0.2638
DMART,EQ,803.9,805.8,809.25,789.8,803.9,801.6,798.59,799811,63872501440000.0,18710,251147,0.314
DMART,EQ,801.6,803.9,807.0,794.7,804.0,804.6,801.22,472470,37855409460000.0,11958,175269,0.371
DMART,EQ,804.6,802.4,822.9,797.0,820.65,818.05,812.42,842867,68476367229999.99,23696,270361,0.3208
DMART,EQ,818.05,825.0,826.45,813.0,815.0,815.5,819.33,443572,36343182625000.0,14775,129172,0.2912
DMART,EQ,815.5,810.9,820.0,805.0,809.5,815.1,813.37,365653,29741142585000.004,16340,122428,0.3348
DMART,EQ,815.1,811.6,847.9,808.0,839.7,840.05,835.88,1577531,131862267220000.0,31850,644343,0.40850000000000003
DMART,EQ,840.05,843.0,843.0,829.0,836.25,836.2,835.58,590080,49306061240000.0,28432,212252,0.3597
DMART,EQ,836.2,834.9,854.95,830.85,845.0,846.05,846.72,795100,67322529840000.0,22675,176573,0.22210000000000002
DMART,EQ,846.05,847.55,909.0,847.55,879.1,880.3,883.83,3412326,301590052770000.0,73764,605134,0.1773
DMART,EQ,880.3,882.8,910.0,882.0,895.0,895.45,898.16,2129887,191297516225000.0,57897,446084,0.20940000000000003
DMART,EQ,895.45,940.2,944.0,900.0,942.2,934.6,927.95,646394,59982254190000.0,13896,197695,0.3058
DMART,EQ,934.6,946.0,954.9,907.5,911.0,913.95,933.44,1185183,110630045465000.02,33392,391465,0.33030000000000004
